Unnamed: 0,Prov,Nom de station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes,Tmax,Tmax90p,Tmin,Tmin10p,DG0
150,SK,SWIFT CURRENT,4028038,1885,12,2017,12,50.27,-107.73,817,Y,10.067876090390556,26.54666666666667,-1.4288496320245048,-17.759999999999994,1398.35666666853
151,SK,URANIUM CITY,406QLD0,1953,1,2017,12,59.57,-108.48,318,Y,,,,,
152,SK,WASECA,4048520,1907,7,2014,12,53.13,-109.4,638,N,7.907903623045922,25.05,-3.271321957286138,-21.298333333333336,1212.6166666666666
153,SK,WHITESAND DAM,4067655,1938,1,2017,12,56.23,-103.15,344,Y,,,,,
154,SK,YELLOW GRASS,4019040,1911,8,2017,7,49.82,-104.18,580,N,,,,,
155,SK,YORKTON,4019082,1941,5,2016,1,51.27,-102.47,498,Y,7.788266280712722,25.69566666666667,-3.5382128334385783,-22.968666666666664,1313.9433333333334
156,MB,ARBORG,5030080,1960,11,2016,6,50.93,-97.08,224,N,7.382431213723353,25.525,-4.071479076379855,-25.59666666666666,1378.05
157,MB,BERENS RIVER,5030203,1905,1,2017,12,52.35,-97.03,222,Y,,,,,
158,MB,BRANDON,5010481,1890,1,2017,12,49.87,-99.98,363,Y,,,,,
159,MB,CHURCHILL,5060595,1932,1,2017,12,58.73,-94.05,29,Y,-1.821646693026839,18.399999999999995,-10.094294961876145,-31.202333333333332,700.7233333333331
160,MB,CYPRESS RIVER,5010641,1949,1,2017,12,49.55,-99.08,374,Y,9.27839338602964,27.363333333333333,-2.3017802385774297,-22.14,1559.8766666666668
161,MB,DAUPHIN,5040689,1903,1,2017,12,51.1,-100.05,305,Y,8.4301482010518,26.275666666666673,-3.538700732381731,-23.52833333333333,1345.9733333342904
162,MB,FLIN FLON,5050920,1927,2,2017,12,54.77,-101.88,320,N,5.590242527821981,24.711666666666666,-3.6254025790284063,-24.83333333333333,1510.8066666666666
163,MB,GILLAM,5061022,1943,3,2017,12,56.35,-94.72,145,Y,1.6813386231504357,22.30800000000001,-8.953867904284255,-31.19633333333333,891.9866666666667
164,MB,GIMLI,5031042,1944,3,2017,12,50.63,-97.05,230,Y,,,,,
165,MB,GRAND RAPIDS,5031111,1960,7,2017,12,53.15,-99.28,223,Y,5.915246739859308,24.211666666666666,-3.6841214838384437,-24.98833333333333,1482.320000000417
166,MB,GREAT FALLS,5031201,1922,9,2017,12,50.47,-96.0,253,Y,,,,,
167,MB,INDIAN BAY,5031320,1915,4,2017,12,49.62,-95.2,327,N,8.64294184945873,25.5,-2.2295968245436573,-22.77766666666667,1634.7200000000007
168,MB,LYNN LAKE,5061645,1952,4,2017,12,56.87,-101.08,357,Y,2.468462210641861,22.74966666666667,-8.38562677715294,-31.457666666666668,969.2833333337268
169,MB,MORDEN EXP FARM,5021849,1904,3,2017,12,49.18,-98.08,298,Y,,,,,
170,MB,NORWAY HOUSE,5062040,1897,10,2017,12,53.96,-97.85,224,Y,4.99176988727007,23.752,-5.95542848144879,-28.96333333333333,1243.54
171,MB,PIERSON,501A7AR,1933,1,2017,12,49.18,-101.27,469,Y,9.865260835647597,27.73633333333333,-2.5604920617487874,-21.447666666666674,1439.133333334487
172,MB,PINAWA,5032162,1915,6,2017,3,50.18,-96.07,267,Y,8.399029347659537,26.06,-2.7347599709167074,-23.71,1558.4266666666665
173,MB,SPRAGUE,5022759,1915,9,2017,12,49.02,-95.6,329,Y,8.88815253263374,26.01100000000001,-3.1869790062169328,-23.324,1407.9333333337495
174,MB,THE PAS,5052881,1910,6,2017,12,53.97,-101.1,270,Y,5.78199086757991,24.39833333333333,-4.1056995533597815,-25.530666666666665,1404.9766666666662
175,MB,WINNIPEG,502S001,1872,3,2017,12,49.92,-97.23,239,Y,8.71182470653333,26.807666666666666,-1.9802650799683137,-22.44033333333333,1681.1699999999996
176,ON,ATIKOKAN,6020LPQ,1917,1,2017,12,48.8,-91.58,442,Y,,,,,
177,ON,BEATRICE,6110607,1878,1,2017,12,45.13,-79.4,297,Y,10.89107927977446,25.606666666666666,-1.1740544352603746,-17.896333333333335,1449.75
178,ON,BELLEVILLE,6150689,1921,1,2017,12,44.15,-77.4,76,N,,,,,
179,ON,BIG TROUT LAKE,6010735,1939,2,2017,12,53.83,-89.87,224,Y,,,-7.484844887235588,-30.399000000000004,1019.4400000041567
180,ON,BROCKVILLE,6100971,1915,7,2017,12,44.6,-75.67,96,Y,12.161035193104926,26.6,3.2218152544205463,-12.516666666666667,2329.38
181,ON,CAMERON FALLS,6041110,1924,6,2017,12,49.15,-88.35,233,Y,8.307174328555101,24.74733333333333,-2.7717378819486105,-22.328000000000003,1313.5500000010402
182,ON,CHAPLEAU,6061361,1913,7,2015,3,47.82,-83.35,447,Y,8.020129265312624,24.59833333333333,-3.8212076090427662,-23.92133333333333,1260.6633333333332
183,ON,CORNWALL,6101874,1950,11,2017,12,45.02,-74.75,64,N,12.21541569870782,27.51833333333333,3.1935320571497443,-12.89,2364.023333334017
184,ON,DRYDEN,6032125,1914,1,2017,12,49.78,-92.83,413,Y,7.6262484412425176,25.048000000000002,-2.496900621888272,-23.26633333333333,1596.696666666667
185,ON,EARLTON,6072230,1938,9,2017,12,47.7,-79.85,243,Y,8.715179264524512,25.72566666666667,-2.9745368776369223,-22.935666666666666,1390.3666666666666
186,ON,FORT FRANCES,6022474,1917,1,2017,12,48.65,-93.43,342,Y,,,,,
187,ON,GORE BAY,6092920,1916,1,2017,12,45.88,-82.57,194,Y,10.345187165098645,24.733,1.542507051311048,-14.507,1932.4500000050934
188,ON,HALIBURTON,6163171,1888,6,2017,12,45.03,-78.53,330,Y,11.29373472084173,25.955,-0.4735526246566167,-17.625,1613.84
189,ON,HAMILTON,6153193,1866,1,2017,12,43.17,-79.93,238,Y,12.731967113306885,27.06333333333333,3.3880944182448784,-10.04833333333333,2178.86
190,ON,HARROW,6130257,1917,4,2017,12,42.03,-82.9,182,Y,14.770119585321439,29.05333333333333,5.3889480923186746,-8.037333333333333,2655.173333334783
191,ON,KAPUSKASING,6073976,1918,1,2017,12,49.42,-82.47,227,Y,7.366738179005416,25.11466666666667,-3.836735484192928,-24.43066666666666,1322.9866666666671
192,ON,KENORA,6034076,1899,9,2017,12,49.78,-94.37,406,Y,7.753009307083863,25.186333333333334,-0.9199539137160966,-21.03633333333333,1885.6333333333334
193,ON,KINGSTON,6104142,1872,7,2017,12,44.22,-76.6,93,Y,,,,,
194,ON,LANSDOWNE HOUSE,6014353,1941,3,2017,12,52.23,-87.88,255,Y,,,,,
195,ON,LONDON,6144478,1883,3,2017,12,43.03,-81.15,278,Y,13.18388072959553,27.680000000000003,4.213575891409039,-9.208333333333334,2377.2266666666665
196,ON,MADAWASKA,6080192,1915,8,2017,12,45.5,-77.98,316,Y,,,,,
197,ON,MINE CENTRE,6025205,1915,2,2017,12,48.8,-92.6,361,Y,,,,,
198,ON,MOOSONEE,6075425,1892,10,2017,12,51.27,-80.65,10,Y,,,,,
199,ON,NORTH BAY,6085701,1925,1,2014,5,46.37,-79.42,370,Y,9.10699535893405,24.791,0.07177218853706621,-17.578333333333333,1833.55
200,ON,ORANGEVILLE,6155790,1887,1,2015,12,43.92,-80.08,412,Y,11.472795371503494,26.07333333333333,,,
201,ON,OTTAWA,6105976,1889,11,2017,12,45.38,-75.72,79,N,11.514805674080048,27.15366666666667,1.9678433016458876,-14.908666666666667,2149.210000000567
